Sampled text is:
ჯვილოძე
თავან დერეილი
ალე სანიძე
გიარგი იზორთა
მიქეად ახელიანი
ლისომ სჩმოდური
ალეკოზ დბატაძე
ჯიგლტიფ ბელაირი
გუტაბ გაიბურელი
იოკაბ სამსაძე
ფიხეტრამ აბაჩილი
სიკოლე სნიკაშვიი
თატრა მარხოზაშვილი
გიგოლგ ოვასიშვილი
თადო არიღაანიშვიძ

რომომ კუთაშვილი
ელი
რანდი გაპაილი
გიორგი გავანიძე
რიბოლ იანთანიშვილი
პენანე მმემრაძე
ნიკოლტანი გავაშვილი
ტურამ მიდბაშვილი
გალიბა გაგვაძე
იანე ტაზჩანი
მეტო ენირეძე
გურე მამაბეშიძე
დამრან დორდატეი
იოსადო მოდრივა
ნიდო ანიშვილიანი
ალექანე კორზელი
ანაზოს კადუხაკვიძე
ჩრიგლა პუჩია
ილელო ქერჩუნი
მეტია მხედეროიშვილი
თევან ყვაჩიჯელი
გასრაჟ რიმელიშვილი
იროდინ თარქპარდეი
ბ ცატაშვილი
გელოტე ზავირაშვილი
გიორგი მოტიკავი
მოსიყტიფონე ზანთაშვილი
შიაბ ჩავთაშვილი
მადა არბელიძე
ზიმაჰიკელი
ნორგიმინ საშვილი
ნისობ გიბა
აშვილი
ბარაბ ძენიძე
სენდრენ ჩრეფურელი
არაზა ორპენიშვილი
გიორგი მანიხე
ზატა მახელიძე
ოლა სურაძე
რიმორ თიი
ანიკე
ნემდრენ რაბიაძე
გლიდ არჩულია
შასბა დატილია
ილოკონ ბომოსონეი
ისაკი ბამოვთანისლანამანტინენხიკონე კანია
გოგდილ ქბაზიშვილი
შავუ ანდტისექვიძე
რომგი მანელი
იოკა მობხაშვილი
გილო ანაშვირი
თემრი ომურაძე
მესხენოს ურმეზოვი
სასო გიჩაუშვილი
ფამხებელაზა ომიზანი
აკაკან ბიასოშვილი
იროკლო ეასლიედიკანა სრეიფავაძე
ნიხორმიზ Iთავანი
სედა ტიკიშვილი
ზასა მახიაშვილი
სოდა ვატიკიძე
ისადა თაწაძე
ძანე გიკომიანი
ზიდა ტიკიაძე
მიკან თარკული
მატაქსანე სჭიცაშვილიძე
იონა ახმერელი
ევიენდდემ ითერსიჭავა
იადაბერი ღამვრიაშვილი
ქოდიელიან ართთინთილი
მახეი თამა ამაშვილი
ნიკოლ სამხოძე
დამდიზ გვურეძე
გიორგი ზოზირაძე
იანე აბიშვილი
მისხონმინ ურთეა
აკიკონ ქაბო
იოსითორლა მადხურიკონი
პიჩხელია ადვამელი
გიორგი მორმქვენდიძე
სმტრე მადიშილი
ტურგე ზამურაძე
რედე მმნანტრეძე
ნასა მინულიძე
კასი მუტრაშვილი
პონმრე ზგდაძე
კილო აგაბუშვირი
მუდაგ ბირაშვილი
დვიმგო მვიბუარიძე
ქანარდვინ ბერაშვილი
თეან ბბაროძე
იკა ბემდელიშვილი
ნისო გედობაძე
შიონგი არდასიანინი
კორთე ქიშვილი
დომო IსეფიქენიI
აკომ ქარარური
ულე აშველაძე
ლაკაზ ქაქდირემიფანანი
მერდიზ ავარდაიე
ირსონენ თანქრეზიძე
რიკელ სოწცურელი
ელდე არნელი
არსადცონ ჩხიკაკილი
გლიო  ასიაშვილი
ვასო ფაქსვაშვილი
მადონე გვისეშვილო
ვორუვსინ ბათაშაი
შიოგგი კაირანი
კამრი გიხაძე
მიდაი გოლურიშვილ
ანექვანტინ კართოზიძე
სრიტრა გათთაური
ალეინე სასოვი
ბრხიო დოთია
იანალოდე მიხიკენი
ვანიი ანდია
ზადი სურმურილაძე
ჯერად არბელი
დიმო კაბაძე
დაჰიქ ამარხელაფვინნინანე
ადერე მოღხეკიძე
ნიკონ ზიძე
იშვილი ამანთრელიშვილი
გულათა გვიკონიშვილი
ჭარსაბ ქამამქე
ნიკოლანიანიდგიაზ გაითავი
მიორეი გეხიძე
ალე სანაქვანირვი
აზსასგიზან ნიკა
საპიათ დარდუთი
დურამ საზოლიშვილი
გიგოლაა ორდაშვილი
თამომ ჩხიმთანი
გიმხაზ ბადიროსდონან დამიაქირაკი
მერტადა გავისიძე
ირან გვექევაძე
ატაზე ბასია
ჯადამელ გურამერი
მადავე დღრინი
ილელე გავაზაძე
გილო ქობსონიძე
გიორგი ბუდიძე
ირებონბიქე მენვაგიშვილი
ჯადა ამადაშვიშვილი
ზავითან ნელანაშვილი
კაცელი გაჩსანივი
მადამე ღანიძე
აკიბეზი ელისეი
დურიმ დოტაშიი
გილოტორდი ცართავი
ირეკგილ ყარVთანი
კაკითონ გალიაშვილი
ქიზეტი ორელიშვილი
ელიკონი 
თხოიალი
ანტანე დაბათიძე
გიმიკლიზიგული
მევანიზ საურჯილი
ვოინო ქახეასელი
მეცანე გაჩუჩი
დეკან სარაბეი
შილოტი ბიარაძე
დახი Iკონი ფრასი
ნიქე მორიმეკი
პარმილე გახბანიშვილი
ქარსამ Iიშივი
გიფრტონ ერთევი
თენთე ქაებიშვილი
ფამიე განიშვილი
ალებაბანი მონიაშვილი
იონო ჭომლურა
ბასილიადიშვილი
ბერგი მალსონტინი
ნიკო მოვაბაძე
გობრე ნიმაშვილი
ბიდალი გიდომია
ზაველ აბუძე
დოვამ კებელიშვილი
გიორგი აბერაური
მანთელ Vე
მინო ცარაშვილი
ნიკოლ როწნე ურიშვილი
გიროტგი ნეი
მგდიალ ჩაციშვილი
გიორგილო ტახთერავა
გოდრე მელი
ორთოლ III
აბამელ კაბქანურა
დათჭან ნერგელიშვილი
მაკიმე ცოზია
ალექკანდრა ასთენიშვილი
ნიკონ ილასია
კაორტი სიკუანი
გიორგ ულიძე
ჩონი ფაკაძე
იონა დამასაშვილი
დაზერიზ IკI
ანდე ზობიშველი
ნიკოლო საბი
ალე ბედაძე
ტიტადლი ტედავოს
გრიგოლლიბო ობრეელი
გვატა ამამეშვილი
ვლიჯო არეჩილი
დიზი პველაშვილა
აგტაცა ვარდსვალია
ლოვუან შვიცავაიპირელი აცენტვანი
ნაზა თეგვანიშვილი
ბავითან ჩერეტავა
დათტან ვაბერიშვილი

ელეო ემატდურანია
პახენგანჯი საბეიძე
იასე ბეგიაშვილი
გიოლოლ პანონი
მახითე ლოთოი
ოსელეა პერთველი
ჩნიკო მნეტიკიშვილი
ალექსესტონე სანდოშვილი
მავანი მესელიანი
ლავამადე გვომაანი
ბუტდილ ნოღთიზევილი
ზუმან ხვეკელი
ვიმოქსლე ათიარაშვილი
ირაკო მისრანიქია
ნოდან რბელასი
გოსტო მიგაძე
ნენონ კახხავა
სტიმა ერიშარი
მადარ ნერჟაშვილი
დადუა კონბაშვილი
იერგულანი ამანე მიდური
გიორმი ბაბაშვილი
ნესლესაზ ქბეშიშვილი
ნაგრარ ზემითაძე
დამონ ურჰაშვილი
ელიქორდი ათხელი
გროელ Iყომასელი
ზამოლ ავიშვილი
შამვან ერზითაძე
ტანსასდრა მამირსანი
ბოვაი
ოდატანიან ქონხაშვილი
ზომმე აშვიშვილი
ზომურ ბაბაველი
მუმაკოვააროდიან მანფროდელიშვილი
გილიტრა მებური
ვო ბელაშვილი
მართელა ტოდვანი
არჩელ თვეზაშვილი
იაკონ ქეირაური
ბანი ობეშიანი
ტიდურტი ფოდჭაძე
გიორრო გოვულეძე
დუდაბ მურმამიშვილი
ფიისა მადურაშვილი
იანსინ ურეთერიძე
დემიმ ლერდაშვილ
ცავეთ აბდიძე
ნაგე ზიმოშიილი
ფულა ბარატავი
გიორგიილ აჩმთონი
ქათე გთელოვიძ
ძელოზონ დურჩელი
ნიკა ლათავა
მედერ კულია
ზერ მიშვილი
სონო მარაშვილი
ირსილოზ ოსრთჯაილიძე
მეკა მოდდარია
ირგებ მატიტე
ნოდერე ნიზსი
ელექერზვანე სენდიანი
დუხრინ სთცაია
ხიდეილი გურბია
არდეზ დანთელიშვილი
გურლე ბიბავრი
სასდინი ანთბანიძე
დორგუზ ზუმრდოჯიძე
არა აიდთიური
ბირობ თოტიძე
თამიდ ანთველიშვილი
დემაბ ანინაძე
სისომ ბაპაიე
ამტიანდ ატანდაშვილი
გლიორ თთივა
რიმილეო ავიკასა
რვენ ბორიდავი
ზინებ ობიკაშვილი
იოკო ლაბპოდასი
დადიქ ამრთელაშვილი
გიორგი ბარტიონი
გიგითრი  პუდილიძე
დევიმე ამედვაქსიკოგეიშვირი
დამორ ზაბაშვილი
მარმელ კაშოვაშვილი
დაზრ მერტელი
ოონტეს არბელიძე
იასენნტეი არბახანიძე
ირითელ მთუეგე გიორგიაფი
ბენა ოკიანიძე
თანსქონერე გიციძე
მერდეგიან დამერმაშვილი
ბიმო ბარჯინონიშვილი
პასანტან ზუტთაკელი
გივოდ ანირებიძე
თირან მეთიაძეე
იოტიი არებე
ვინე
ტისტიტეტინე გომღაწურიშვილი
ჭასრა Iაჯვენი
ბეო ადიანიანი
დიორდი მარტახაშვილი
ორსე ქიმეუნიარი
სამე მთაზტვერქისაკაკა ონდრეინანი
გეზი მეიაშვილი
ნიკო ელიკია
ზადუბა გიაჯრიგი
ემსანე მარდდელიანა
არმამა ტადიციძე
ოლჩტონ მერეიძე
პახტანტრე ქვენზიძე
იოსა გომიანელი
მესა ჩეხედიონი
იარდი ოსთრავი
სიდოო მექჩევუნიძე
ორამესვ ბრდრილიშვილი
იანო ნურაშვილი
ვადერ ჩულანაშვილე
ვენტაზ მახხოდელი
გომსრენ ქასერდელიშვილი
სილოზ ბაპვავაშვილი
მორგე მურაშვილი
იოტა სონაბიშვილი
ირიკონო აბვიანი
ქენა ერდიშვილი
ელი აკულიაკი
იაკო მანითერიე
ლოკო I
ბაქიძე
მატათებირი გალია
იაკი მუნსტანი
აკოსე მავაშვილი
ზიხო თოგიკაშვილი
ზანაზ დაზვდეა
გიო ლაგვანიძე
ნენუნ ზანირეშვილი
თხელი ავანიანი
გიან ერიმონი
კაკიმე თაძე
რიორგი სამსანელიძე
რამთელ ბარიუშვი
მხურაზ მოთბელიშვილი
ალიკა ბოხოივაშავი
დიარიბ სეღვენიძე
გიორგიი ირიძე
ლენსა მაფხიცენიძე
ანა კავაა
აგრიკლი მახჩდიაშვილი
სიგოლი იასთოვოდი
ზიგიონ ქარაბიკივა
გიმგვალ Iაკასა
სერგისლ სამანიძე
თამანი მოხააშვილი
არნე დაიმავი
აკანე მირიანი
ნომო გეგოტაძე
იასებ ქხეიძე
ელტან Iბთავაძე
დამორ ქანიანა
გეორგი ქაზჭველი
მიდონ ბოვი
აძე
მოტარ დარსღულიშვილი
გრუიბბო ქამიაშვილი
სასოდატანტდრე ოტდენიკა
იორაბ ახბაშვილი
მოსთენ სღახაშვილ
მურაი ერისელიშვილი
მაირა მამადდენი
მომასანიძე
იონი ბაკავანაშვილი
მადარ ბარჩაბი
მიკო ლაშიოშვიი
მადუა მემინა
გიდა ფანიშვილი
ქრისოლი გაპარითელი
ამსანდო დერხავაძე
ზაზა ხაჰიაკი
ბოტა აბინაძე
ლონე რეჩიძე
ნოდრაკ თევანაშვილი
გორთა აზიზვი
გიქარგითექ მარბაშივი
ითენლი აკანსურიბე
ისასელგე ყორთელია
გიორგი ფაციშვილი
თამორ ვაქიანი
ნინელინ დზბარსი
გიონგი მობაძე
ჭემბემინ ბრეფაბიშვილი
გუგგილ დაროსითავა
თოსილ თახფაორიანი
არსაბ ართფელიშვილი
ალია არსაზიი
ისელეგ ქერეული
ირომობ ჟჟშველი
იანე ნარსონიშვილი
იანო ზაბიძე
რენიმ
ორერიყი თონსზაძე
სასატადღრი ერდვიშვილი
გიორა შხვიკავი
ზემოდე გეთგიშვილი
ლენდანა თადიანვი
ი
ასეტნიზ ქახმურა აბელავა
დემტრე დუგაშვილი
ზასეს ბომასიშვილი
ზამაზ თაზაუფი
გიმორა კელოვა
დიორტი ბხაპვუნი
ნოდომა ჩირიV
პარიტელ ჩანდელიძე
ნიკო ომიანიკი
ეუნ კებრიძე
ნონეის ორიუა
ანდე სუთაფაძე
აგსამანომ მახაშვილი
მარტიმ ნიმაშვილი
ლეძეელიან დქვატაშვილი
ილიტო არდოლია
ბაფიხი გიბოვი
ავიკელო ვაბელივა
იხანო არდელადაშვილი
დანა მეკანია
იეანი
რისო ლალითე
ლეისასანი დანდიანი
კოზსე ბობუურიი
სადსე გვექენსი
მეხე ბამანიშვილი
მერამამაზ ვურამანანი
ნოზარ ბარიქანი
აურა აVნალი
მიკითოე გოვამიანი
მაზეთ კრიოვბლიშვილი
ბავა ლერია
ვაკითე პანთალეშვილი
მაზითრი ურნიკანი
დასუტი გვურაძე
გურმულე ნქნოფა
ვანა გიაშვილი
რესოს მვარიძე
ახან ქვგანაული
გოდილითო მანურაძე
მურებ მირბაწლიაკე
გიქრინე საძე
არისე ბანაძე
ზურა მჭბელაკიშვილი
მექარტი დართალაძე
ეკაქიანე  ქაბერიშვილი
ჯელორ მართური
თანრ ბეჯაძელიონიძ
არანი ფუჩექვვაშვილი
ბემორ ბეზიშვილი
სორ სელიანი
ნოდანთის ვრიბაშვილი
სიკონ გურაძე
იანე სტედეთიძე
ქროდ ომაზურაბიშვილი
ვანელი ურაკი
აშვილიშვილი
ვამა ანირიაძე
სურჩი კუთაფანიძე
აკო სამზაე
გიხელის თეჟატიძე
იასეი ურერიძე
იაკა მადაჯაშვილი
მენე შვინგილი
ანდრე კაწაბერიშვილი
იო მეჩრაშვილი
ნიკოლიან სანდიო ასთუნაძე
გიორგი ოკაქვანაიმისელე ვაგარადერი
თამორა უანდრაქვა
მაქურე გვიანაზველი
გიხორ შვასშვიძე
იურიბე ონდელი
ბადათი ასთელინი
ერგა ერაბაშვილი
დეტრე ლოსთაშვილი
მადიძე ამდიანი
გიონოილა მიმათაძე
ზაზა ბერიველი
ჯუმვან პერიაძე
ლიკო ლიშვიის
ქრიკლლინ ნცი
ერხელისონ მანერთოძე
ადოთა არაბილაშვილი
თესა მესრელაძე
სიბოტრი გურონიოფი
შილი ფანდლეინი
სუჩნე თავაძე
გიმარ ბობიაშვილი
მარედი ართელი
დევრი კერადაშვილი
აკა მემორაშვილი
დამიტლი თექიფანიძე
იაკელ სარგიანი
დახითე მებელიძე
იკასანე დოდიანი
ნიკალი ანელე
იაცებნნი მახსანგელი
ვასა ლეპაკიძე
ისოდა ამბაძე
იასეზიი გავანაშვილი
თანთა თებაშვილი
შილი აგლიკოზ სგქიდვანი
მიქე მორბიშვილი
ზაიჰან გაბონიძე

იიმობ გეტაძე
იკგილო ბეღთელიძე
ტამა ჩენჩეშვილი
ვაზა დიხენონი
გიომან ჩიდარილი
სუმან გროქავანიშვილი
კომონ ნორეი
ნინო მორსიმანი
პანადა ართაძე
თასეი სეინე
გისერ იბიბაშვილი
იაკო მომაჩაშვილი
კაპდან გიგოკოზი
მიმო ლღქარმიკი
ნიგორგი გვფხანელი
ნიკო ლისაშვილი
დირო მორბელი
შონტ მირაელი
დაროტ კეჯური
ლემო ჭაგნაშვილი
ელოტა არჭულინიძე
მანზრა გეკონიძე
ავეკელ აIტჯითია
გიორგი Vფანარ სახაჩა
დათეილ არაბოშვილი
ელემ ბამვიზაძე
გიარგი გოქაშვილი
ალდანი მირდანაშვილი
ურგი ლიV
აასიქნანი მანი
არსო ხარიას
მანი ქანტერდელი
მადვცტტიფანი ქატაშვილი
ნიქონტი მერეთინი
ტასო კურაძე
გატი დანილე
ვანდქასადმინე მარაბქიანი
ააბე მეგლაშვილი
ნიკოლესპანდქნოზერინინე ნაზაშვტიშვილი
იანიკო ბასუია
იორგბი ოკარუშვილა
რისო სანიშვილი
დამდა მერიცოლი
მიდელ კადაშვილი
ზადო მურთებლიძე
ნაკა ანიქელიძე
ანო სუთაფაძე
დაკიზ ბვალექიანი
ერგტიქ აბხაშელვლი
დოგამ Iაჩაძე
ზევტა მეინაშვილი
დვანნ კონოძე
დიმიი ამიშვივი
გიბრო ლოროღი
იონი გამასაშილი
ქვანტა არდაბერსელი
ელისთაბვანია
ანსრე რადანიშვილ
ძეან ქურჩიაშვილი
დარსა ანენიშვილი
ძემე ურბელიძე
ელეანდვანტანი VI
დანსო კია
ივეინი საქსაქერძე
მამათ ანდროდაშვილი
ევანეკა აჩბეიჯელი
მახოზ ური
შვილი
საბა აქინაშვილი
დაზა კგვოსტინელი
შეილაშვილი
ჯამველი ამიინე
იონბილო არსქცენლისანისა
გიბტირი ელეთუა
რამიკე ქვიო
ერგიმეზ Vსშილიქძე
ზამემ Iმანიშვილი
იარსელ ბათოვია
გიკოლ ზატიაშვილი
დიდოჰ ყეი
იასიასაბონტინაფიონი სამეთელი
ნაზო ანბურძე
მიხეჟლ ზაზვაძე
ლედოშ ორაზიშვილი
ითაკელ ამთაძე
ლეისა პინხდანიძე
ჯიოფირეზაზ გადიანი
ნაჩესონ Iნეეტი
ზიჩელი ეფანენიშვილი
ნორჭომ წახატნენ
მარაბაძო
დრიდონ ჩსვაანიძე
ილათე იმანიშვილი
ელტონ მამაშვილი
გიორგი მორთელინენი
დავითმაბე თარდთელი
მიხეიფა ახელიედი
ეაზ ბარუიძე
დავან ქარსანიძე
პომე დოდაშვილი
მამონე შელიძე
თაბიაზ ართელიძე
ივაზ ფისიმტელა მახაკაძე
თარ ათიანაშვილი
გიხტონნი ურასამიძე
იკელ კაპაველიშვილი
არჩი კიკანიძე
ოტანდანე იახედანეტანდე ზაბიაშვილი
გავილო არსითეთაძე
კელ ერიშვილი
თაცო კანიძე
ისეს ბოპბაშვილი
ზიკო მანთელი
გიორგი გართუთანი
ნიკობი სი
ქვანი არსოზორიო
ვარდეს საშვი
ტიმერლდონქზვან ბხქახი
არგოდელი მოხიფინი
აკიფ
ბარიადიანი მაზაშვილი
დადუო მიარელი
აფნა ერდელინი
სრუდან ბორტთაშვილი
ბოდელე მერიბე
იკონრ კაშვიძე
ნიკონონ სამთანიშვილი
ვასემი არღოშავი
ვომრეიზ ვანდუნი
ელი ბარდულიძე
ნამგიკელია
ვანო ეცდიანი
აკადანი ეროკიშვილქასრაკიქენდანდი თასრქველი
პამა მეინელიძე
ლავენ ანანიძე
სენოლა ხერბიე
ირეოკ  ხეგელიძე
პამორტი გუმონიო
არა სიბაძე
აკანოქსარდულია გოტსუნლი
ალექნანდრე კაზვაი
აბეოლიზე ვანთურიანი
ზავია
მანრელ ბაჟსანიშვილი
ელია არიკობიშვილი
ერბეჰონ ლანაძეკიანიშვილი
მისხი თომოშუნი
გიორა ღამაბა
ამექნენდვენისელი
ერდე ლაკათაშვილი
გიორგი კუსაშვილ გიმაბენიშვილი
გაპან ბერეზოვი
პახიზსილ დაიბერისი
მაზტდტან ტაკაშძე
რურაბ ფამიანი
ვანა ტომოაშვილი
იოგლაზა მუბრაკიშვი
სრამან სრიდონი
არზან კუმაშვილი
გიორგი V
ცასოლ ზვანაძე
იაკან ჩონსურაძე
ნიდოქგი ნატიანი
გობერიV 
ემანელ ადღვინი
ბეტიბერ II აბელიძე
პაკაზ ვათავაძე
ქადანე 
არიაკი
იანო ტახიშვილი
გავაზ დუთონთიშვილი
მამან თვარაშვილი
ელდონე კურებიშვილი
ბამაზ იშვილი
დონგი მამასვძე
აზექნადდურტე ამხხქიეფაშვილე
ბარუი ჯაბელიშვილი
მადრი ბლიავი
ნიკონ ქოჩი
ოენგე ქახსვაშვილი
მიკელო გთაწხიშვილვ
ბაზრაბ ქაშული
დათურ მურქურთელიძე
ბერა ადიბი
გირვტიმენ კეზე
ნიკაგიკიძე
ქანან საკურიშვილი
ზანა ჩაბაშვილი
ოურგი მონმური
პალთარ ურბალაბა
მადომეში ფანსრელიI
სიფო შრედვალი
მალაკო ნთუქაშვილი
ელიკონ ჩთიონიშვილი
სანგიონე გვადურიძი
ბევათ ვაზაშილი
ბეჰვიკ გოთაოტი
ვანგი მუვალე
გულამე პხაიშვილი
ვატო დიხელიანა
დაქარე ჩუნხენტია
პემტინე გეურებიშვილი
სოგორგიკ ებელიძე
ქარტინ ზალიშვილი
ნაკინეი შუმიმიძე
ნიკლო ბაბუიშივი
ნიკოლენიზა არბადასი
მითელ ნოლორუკი
ლაღვი საბატიიშვილი
ნაზო ლისიტვილი
სიდრიჯი ბარიხელი
უანე აჩიბეშვილი
დურზი მხვარესიძე
კიმიგონ გირეწსილი
ელენ დადვიანია
ორჩელელ გვურინაკი
დაბე ითანელი
ბესრინ დოთეტანი
ქარსე ლიდვანი
დაზა მოსდინდიე
ჯატა  ხვაროილი
აზურე მიგაბელიშვილი
დარალ ქოგიანი
აკოისარტანდან თიკაკაძე
აკამანან მარაშვილი
ბაკიოლ მარალი
დავი საგიონიშვილი
დარონ ქესნინიშვილი
კიმო ფარჩელიანი
მანდტე ვალაივა
გეიფორ მადიაშვილი
ზევაზ ჩურუანი
ნიდორ სეკიჟეი
ალექსანი ასდქვაფიშვილი
გიტო იანიურაძე
დათო მედხაძე
ნიდომლიშ არნთებლიშვილი
დივინ იორთვალი
ჯიმო ასაბიანი
დანი სანბელი
ერტელ მუმისელიძე
დისე ლონიშვილი
პაპონ დივაშვილი
დიმონ მიეი
ორატე ბაბერიშვილი
სოლსგე კაზდელაშვილი
ნედან დოქღიშვილი
იონონ ქლადეა
სანიზელ ქახნასზამიქეტნე ენტელიშვილი
დავიო მომელტიძე
დეველ ღაბელიშვილი
შომსი ამარიშვილი
საბრაზ აშვიერიდაკი
გითაზო ლავაშვილი
გიმარ შვინაძე
მანტანა გამძაძე
გიორგი მასნდძეძე
ზონდე ზეგვენი
არსეკა სVფარველგევი
ბაილა ელენისე
ნიკო ზერინი
ვაჭე მანდელაძე
ნიკოკ ლოტინე
ბარასურ გუნმოხი
ნასო აბიქაშვილი
ზურჯიზ კასმეია
ილეესიანგრე ბოხაშვილი
ზუმად აბაშვილი
გიორგი სურზქვინიასი
გიორგი ამანენი
არეგოს სღIნია
გიორგი სალანაძე
დუგით გაშლულავი
დამვიმე გულთანეიე
ირებელ ძეუ
ივინეზ ბაუსენიძე
გიარგი 
აბურენიძე
თადოთა რათთესიშვილი
რადო ლიქიანი
ერმებრე მქვია
გიკომლომ ჩაი
ავანიზ კავრავალი
გამეტრე გიკაბაშვილი
ბელა სადდაკიძე
ტარტე მთერბელიშვილი
ტელეონ ჩერთაძე
დარი ფაბურაძე
აბერ ათელიშეილი
გიორგი ზაგვი
ნებრი ბახისვინი
ვანტო გარღობიშვივი
მესელისან ვავი
ზევა ბონტეძე
ირხამენ გთმდიაძე
ილეას ღსვეტსელაშვილი
მიკი ლობავია
დომი სურელიძე
ღანდტანე ღანიძე
კაფლიი
არბელ ქურსტიმერზი
გოვა ჩუნძე
ნანე ამბუნეძ
ერნი კაპაძა
გეთრა გვიბაძე
იურეონ  სთოხელი
დახტე ჩანრელიშვილი
გიოსა გიგაშვილი
დანოლ ქასთაშვილი
დეგმი მოდიასი
ელექცინე არემმინე
ანოსანთე ანია
აკხოზ ბიგნელიძე
ზივა მექხენიძე
იაკსლე IV
ეასტირე ორთელიშვილი
თემი კებეძეშვლი
შვიდა ანაიმეიძე
რეზან შვირიშვილი
დამო ფრენოსაშეინი
კატა სიციშელი
მამანტრინე სვეჟმიელი
ჭასრი გილაშვილი
გუგლუმ მენენლიკოსი
საბური ათაკაშვილი
ნოდარი მაცტველეძე
ნიკო ლავაშვილი
დეთაბ კეჭუნიძე
ავებ ცელაშვილი
ბანა ართუბიშვილი
ვადე გოგიქაშვილი
თამოტ იბერიასაშვილი
იოსელი იასი
გემგრა მოდია
თიმიო მენაშეიშვილი
ბიმობრ პათურიშვილი
იოზაბ ბარქბატიშვილი
ალეტრა მაჟიშვილი
განმელ აიბა
ერლე სპიშღილი
გიორგი გიბაშვილი
მოსაქ რუდათავა
შიელიზ კალშვილი
დიკოლლქიანიოი გუმობელი
მინე ფასმარდიძე
კავუნან ჩჭანაშვილი
გიორგი სოხშა აშვილი
ერგი ლოზია
ვითე დავაშვილი
ჯადულ შვირიკიშვილი
ორაბელ Iყთანია
ინიკა სადთაშვილი
ზურამ მუჩაზტირე
დან ნოიძე
დარით ავაშვილგი
ყანძე მობცერიშვილი
მიფამანა მართული
ბუქაშტიანენანე კოგქონთია
ვეოგგინე ზა
თერიშვილი
მიდრე ლებია
ილეტა ერიბელიძე
სასელ თოჭანიძე
გიორგი სობიაშვილი
სარგი ოფქანიძე
დათტი კაფურიშვილი
გიორგი ელისაშვილი
ბისელი
მაბელიზიზი ბუნამანიცაშვილი
დეგამ ბურადშილი
ბარტით ართხელიზე ფიფაკელი
თამორ შუმიძე
გიორგი მაჩმანიშვილი
დორგიფ პაბელიშვილი
ტადრიქ ივაბენიძე
ანემენეზდე ერთელიანი
გავა ჩრეტუროძე
გელე ობურაძე
ჭავა
დაგტლიძე გაშვალი
ურგიკგონ ლოჩი
თიფდლე ქმახბერიე აძე
სალიქე დამორია
მიკოქ იგვანიძე
თოხიან სასავაშვილი
ნადთატგა სიოსაძე
აკაბეიზი ერმეზდლი
ამჩადდარ ფარჩუბელიძე
დიცლი ფატიზვი
შიიერ გიზხელიძე
დარეტტინ გრილიძე
ალოკოსა ართეაშავვი
ნედტან ურმქმაშვილი
გიონგე ლოვია
იაკობე სინონიძე
არტუნე ნორდექვიშვილი
ალეკელ Iთაასილო სიდანიძე
მესრე მიხა
ნორაბე ნაბმელიძე
ნანანტუნიI ჩათათევი
ვეურილიკა ზანთული
სიბე ლავიაე
მრმტერტიანანიდეი შაბიშავი
არტელლ ურთიბაშვილი
ფადლოტოზ ტაითუელი
ელსანისებე ავამსანიშვილი
ლემონ ჩიმმენელი ზამია
ზაზიე პიდიშვილი
დუსტმნენ სამართელ
პანერ კამღთაღვანი
არსე მარჭაშვილი
იეზე სვინიძე
ილაქსან რიმოდაძე
ათომედრი გამიდაშვილი
ურსიაბობოს გიოდსარიძე
თუხა მვიანიშვილი
ნიდოლე ოვანენირელი
დღილო გარმომევი
ანე ეილიქია
დამორ ულითარაძე
გამიე დტიტაქვაშვილი
ვაკილე რადაომიშვილი
იაკოკიზოვ გიჭელი
იამე ქახაშვილი
გიბოლი ურაბენიშვილი
გიჩრა მორდენისი
ზანი ნარი
ომერ გიმიკიძე
ილასე სიამიძე
არეკლა ჩეფღაძე
იიანო კაIფაშვილი
რომონ ბეა
ავიI
ლედორ ულია
ელიზოტაზ მუნიკიშვილი
ნისრო მოგვათაშვილი
იაკონ ჩასანრბიკაძე
იორე ბებიაშვილე
ნენეზ ვარეტიშვილ
იატისა ობაწამაშვილი
მაზტან დაბიანი
სეჟე გოდურიოსი
ზგრი ანგიშიაშვილი
მეარი ოჩამიანი
არდეილ ანიი
ალეტსანა მასასდინიძე
არე მასშვი
გივოკლჯიჩდვანო გოთაეძე
პედტრან იონდელი
ვანგილე ზონბაშიი
სესგოშირიტთორ სათდონიშვილი
გიორგიონ ქანიეშვილი
ნენდა ბაბააისითელიაზიკი
მართელ დონირე
ლილე გოვამაშვილი
მამანე საწსურაძე
იკოდ შვილიძე
მიკან ურათავი
მპრიან პამათელა
იანე განსჩოკდძე
იორო ხბონტიძე
სუჯა ბათახიშვილ

ორსა მელნური
გიგოლ მითხაბელი
ალჩანდანი არდელი
დავიე მადასაშვილი
ნედრან გიოელიძე
ჭაიქონ ჩარგელიშვილი
ნრმო ელიძე
სიკორ მექვაკრიძე
სანი Iენონი ვამანი
თადალ ქარხანაზიშვილ
ავია მოფხელოდი
ასდანდრე პარდავი
სანითერი ქვინებელი
ზანერ ქენანიშვი
გიორგო გოგოშვიძე
ნიკოლა ქადაშვილი
ვადია აყათთარიანი
ნეოტანა მჯახია
ვასერიე
სარმონ სერი
ბენსუ ბიაშვილი
გორაბ მოილავა
ჩინტნელა ოუმაქვანი
სოწტაზი კიშავი
ნეკონ კოზთრაბენი
ელვანჯიტან ზიაბელიძე
დაკილ ართეკი
გიორგი მანთვერიშვილი
ზასიო მესუბეშვილი
ოლიქანე მაბაშვილი
